,Gender,Age,Acc,CR,Ptime,S_anx1,S_anx2,S_anx3,EBB3,R_tea,Inattention,LC,AC,WE,PL
Tea_ttt89_Control,1,16,2,2,10,1,1,1,1,4,7,15,14,12,10
Tea_ttt90_Control,1,16,2,2,6,1,1,1,1,4,2,8,4,3,5
Tea_ttt91_Control,1,13,1,1,0,1,1,1,1,6,3,7,4,3,3
Tra_ttt83_DN,2,14,1,1,3,1,1,1,1,5,4,18,8,11,12
Tea_ttt92_Control,2,16,2,2,4,1,1,1,1,4,1,8,4,4,4
Tra_ttt84_DN,2,16,2,2,4,3,1,2,5,4,4,21,14,11,7
Tea_ttt93_Control,2,13,1,1,1,2,1,1,1,5,2,12,4,7,7
Tea_ttt94_Control,1,13,1,1,2,5,2,1,1,5,4,7,4,3,3
Tea_ttt95_Control,1,13,1,1,5,1,1,1,1,7,6,7,8,7,3
Tea_ttt96_Control,2,14,1,1,2,2,1,1,1,7,0,9,7,12,4
Tra_ttt85_DN,1,16,2,2,3,3,2,1,2,4,17,17,10,10,12
Tea_ttt97_Control,2,14,1,1,4,3,2,2,2,7,6,20,6,7,7
Tra_ttt86_DN,2,16,2,2,3,5,2,2,1,4,7,19,4,7,5
Tea_ttt98_Control,1,16,2,1,5,1,1,1,1,7,5,9,8,4,4
Tea_ttt99_Control,1,17,2,2,1,2,2,2,1,5,1,7,4,5,3
Tra_ttt87_DN,1,15,2,2,7,5,5,5,5,5,5,11,20,15,3
Tea_ttt100_Control,1,14,1,2,3,3,1,1,1,4,4,21,12,5,6
Tra_ttt88_DN,2,14,2,1,2,5,5,1,2,3,8,22,6,12,5
Tra_ttt89_DN,2,17,2,2,4,2,1,1,1,5,9,10,8,12,4
Tea_ttt101_Control,2,16,2,2,2,3,2,2,1,4,7,16,15,9,9
Tra_ttt90_DN,2,15,2,2,8,3,3,1,1,7,20,23,14,15,8
Tea_ttt102_Control,1,15,2,2,10,2,1,1,1,4,3,16,13,7,9
Tra_ttt91_DN,1,16,2,2,8,2,1,1,1,6,5,22,7,15,7
Tra_ttt92_DN,2,16,2,2,5,5,5,5,1,4,21,22,8,7,13
Tra_ttt93_DN,2,16,2,1,10,4,3,1,1,5,10,18,5,6,12
Tra_ttt94_DN,1,15,2,2,10,1,1,1,1,6,8,29,4,7,11
Tra_ttt95_DN,2,15,2,2,6,4,1,1,1,7,9,21,7,9,4
Tra_ttt96_DN,2,16,2,2,5,2,1,2,1,4,7,13,5,6,5
Tea_ttt103_Control,2,15,2,2,10,2,2,2,1,4,6,13,4,3,4
Tea_ttt104_Control,2,13,1,1,1,1,1,1,1,5,5,15,6,15,3
Tra_ttt97_DN,1,14,2,2,6,5,2,1,1,4,9,17,6,15,6
Tea_ttt105_Control,2,13,1,1,1,2,1,1,1,6,7,14,8,12,5
Tra_ttt98_DN,1,15,2,2,5,3,1,1,1,5,6,21,5,9,4
Tea_ttt106_Control,2,15,2,2,3,2,1,1,1,5,3,9,4,6,4
Tra_ttt99_DN,2,16,2,2,7,2,1,2,1,5,9,16,11,9,7
Tea_ttt107_Control,2,13,1,1,2,2,2,1,1,5,9,13,5,12,4
Tea_ttt108_Control,2,13,1,1,3,2,1,1,1,4,6,12,8,6,5
Tea_ttt109_Control,1,15,2,2,1,5,2,1,1,6,0,7,4,3,3
Tra_ttt100_DN,1,16,2,2,3,5,1,5,2,4,19,18,10,6,9
Tra_ttt101_DN,1,15,2,2,10,4,3,3,1,5,13,7,6,5,5
Tra_ttt102_DN,1,15,2,1,4,2,1,1,1,4,8,15,5,5,9
Tea_ttt110_Control,1,15,2,2,10,2,1,1,1,5,5,21,6,5,8
Tea_ttt111_Control,1,13,2,1,4,2,1,2,1,4,6,7,4,3,3
Tra_ttt103_DN,2,16,2,2,5,3,1,1,1,4,10,18,8,10,8
Tea_ttt112_Control,1,13,1,1,1,1,1,1,1,6,3,7,4,3,3
Tra_ttt104_DN,1,16,2,2,10,2,2,2,1,7,27,27,20,15,15
Tea_ttt113_Control,2,13,1,1,1,2,1,1,1,7,3,10,4,3,5
Tra_ttt105_DN,1,14,2,2,6,4,4,2,4,5,11,28,16,12,12
Tea_ttt114_Control,2,14,1,2,2,1,1,1,1,4,5,10,5,8,4
Tea_ttt115_Control,2,15,2,2,3,2,1,1,2,6,3,11,10,6,7
Tra_ttt106_DN,2,16,2,1,5,2,2,2,1,4,9,12,8,4,7
Tra_ttt107_DN,2,13,1,1,2,3,1,2,1,4,9,17,11,15,9
Tea_ttt116_Control,1,14,1,1,3,1,1,1,1,4,9,15,6,4,4
Tra_ttt108_DN,2,16,2,2,6,2,1,1,1,4,14,17,7,11,9
Tra_ttt109_DN,1,15,2,2,4,2,1,2,1,6,9,8,6,4,4
Tra_ttt110_DN,2,15,2,2,8,3,2,2,1,5,3,11,12,9,4
Tra_ttt111_DN,2,15,2,2,10,3,2,3,1,4,7,15,7,14,5
Tea_ttt117_Control,1,14,1,1,1,2,1,1,1,5,7,12,5,5,7
Tra_ttt112_DN,1,15,2,2,4,2,2,1,2,4,12,19,8,10,11
Tea_ttt118_Control,1,13,1,1,4,3,3,1,4,4,9,21,10,8,7
Tra_ttt113_DN,1,16,2,2,1,5,5,5,1,1,1,7,4,3,3
Tea_ttt119_Control,1,16,2,1,4,2,2,1,1,5,6,9,12,14,4
Tea_ttt120_Control,1,14,1,1,1,1,1,1,1,5,3,8,4,10,3
Tra_ttt114_DN,2,15,2,2,10,5,2,3,1,5,10,17,12,9,14
Tea_ttt121_Control,2,14,2,2,6,1,1,1,1,4,5,14,6,4,3
Tra_ttt115_DN,2,15,2,2,8,5,5,5,1,6,19,21,18,15,4
Tra_ttt116_DN,2,15,2,2,10,2,1,2,1,5,11,10,4,5,5
Tra_ttt117_DN,1,15,2,1,4,2,2,2,1,4,12,13,7,7,9
Tea_ttt122_Control,1,14,2,2,10,3,2,3,3,4,8,18,9,8,7
Tra_ttt118_DN,1,15,2,2,4,2,1,1,3,6,6,13,4,3,4
Tra_ttt119_DN,2,14,2,2,10,5,1,1,1,4,10,16,9,10,4
Tea_ttt123_Control,2,16,2,2,1,1,1,1,1,4,4,17,7,5,8
Tra_ttt120_DN,1,14,2,1,1,1,1,1,1,7,4,18,12,13,6
Tra_ttt121_DN,2,15,2,2,5,2,1,1,1,4,9,15,4,8,5
Tra_ttt122_DN,2,15,2,2,8,1,2,1,5,4,9,27,10,15,7
Tea_ttt124_Control,1,16,2,2,4,1,1,1,2,6,7,14,8,9,5
Tea_ttt125_Control,2,13,1,1,4,2,2,1,1,5,6,20,16,15,6
Tra_ttt123_DN,1,16,2,2,5,2,2,2,3,6,8,23,10,6,5
Tra_ttt124_DN,2,16,2,2,5,3,2,1,1,6,9,11,6,6,5
Tea_ttt126_Control,1,16,2,2,6,2,1,1,1,4,12,9,4,9,3
Tra_ttt125_DN,1,17,2,1,10,1,1,1,1,5,13,22,7,15,8
Tea_ttt127_Control,1,13,1,1,1,1,1,1,1,5,2,14,4,7,3
Tea_ttt128_Control,1,13,2,2,2,1,1,1,2,5,5,14,4,6,4
Tea_ttt129_Control,1,16,2,2,3,1,1,1,5,5,14,7,7,6,8
Tea_ttt130_Control,1,16,2,2,3,2,2,1,1,5,8,8,4,6,7
Tra_ttt126_DN,2,16,2,2,2,2,2,1,1,5,1,8,6,12,3
Tra_ttt127_DN,2,16,2,2,8,1,2,5,2,6,20,23,15,15,14
Tra_ttt128_DN,1,15,2,1,10,1,1,2,1,2,3,19,10,7,10
Tra_ttt129_DN,1,16,2,1,5,2,1,1,1,5,9,12,5,7,5
Tea_ttt131_Control,2,15,2,2,3,5,5,1,1,6,3,19,9,3,5
