,Gender,Age,Acc,CR,Ptime,S_anx1,S_anx2,S_anx3,EBB3,R_tea,Inattention,LC,AC,WE,PL
Tra_ttt319_DN,2,13,1,1,2,4,1,1,1,4,12,15,4,13,4
Tra_ttt320_DN,1,16,2,2,3,2,2,1,1,6,2,16,6,4,7
Tea_ttt337_Control,1,13,1,1,1,2,3,1,1,1,7,13,4,15,3
Tra_ttt321_DN,2,16,2,2,4,5,3,2,3,5,5,9,5,11,4
Tea_ttt338_Control,2,14,2,2,6,2,2,2,1,4,10,14,8,7,8
Tea_ttt339_Control,1,14,1,2,3,1,1,1,1,4,1,8,4,3,3
Tea_ttt340_Control,2,16,2,2,3,2,2,1,1,6,8,9,7,7,4
Tea_ttt341_Control,2,13,1,1,1,1,1,1,1,4,2,11,4,3,5
Tra_ttt322_DN,2,16,2,2,8,5,5,5,1,4,18,9,15,15,12
Tra_ttt323_DN,2,14,1,1,1,1,1,1,1,4,2,7,5,5,4
Tra_ttt324_DN,2,14,2,2,4,4,4,5,1,5,6,22,7,9,13
Tea_ttt342_Control,1,13,1,1,1,1,1,1,1,4,7,13,4,3,4
Tea_ttt343_Control,1,16,2,1,2,2,1,1,1,5,8,8,6,4,3
Tea_ttt344_Control,1,16,2,2,3,5,2,2,1,4,6,19,4,9,3
Tra_ttt325_DN,1,16,2,2,10,4,4,3,2,4,11,24,12,15,11
Tra_ttt326_DN,2,13,1,1,3,2,1,1,1,6,5,22,9,5,10
Tra_ttt327_DN,1,16,2,2,10,2,1,1,1,4,13,17,20,7,15
Tra_ttt328_DN,2,14,2,2,10,2,2,1,2,6,9,18,16,15,11
Tra_ttt329_DN,2,14,2,2,5,1,1,1,1,5,1,18,6,5,4
Tra_ttt330_DN,2,13,1,1,1,2,1,1,1,4,13,8,4,7,5
Tea_ttt345_Control,2,13,1,1,2,1,1,1,1,4,7,15,5,15,5
Tra_ttt331_DN,2,16,1,2,8,2,3,2,1,4,16,19,11,6,5
Tra_ttt332_DN,2,14,1,1,1,1,1,1,1,6,4,8,5,3,4
Tra_ttt333_DN,1,16,2,2,3,1,1,1,1,4,8,8,5,6,3
Tra_ttt334_DN,2,15,2,2,7,5,5,5,1,4,12,18,14,7,4
Tea_ttt346_Control,1,15,2,2,8,3,1,1,1,4,11,7,4,3,3
Tra_ttt335_DN,1,13,1,1,1,4,1,2,1,5,10,25,7,11,4
Tea_ttt347_Control,2,15,2,2,8,1,1,1,1,4,3,11,4,4,5
Tea_ttt348_Control,2,16,2,1,2,1,1,1,1,5,8,16,9,11,10
Tra_ttt336_DN,1,15,2,1,1,4,4,2,1,7,27,11,8,9,3
Tra_ttt337_DN,1,16,2,2,9,2,1,1,1,6,11,16,4,6,5
Tea_ttt349_Control,2,12,1,1,3,2,1,1,1,5,2,8,4,3,3
Tea_ttt350_Control,2,16,2,2,4,1,1,1,1,5,1,17,4,9,6
Tra_ttt338_DN,1,14,2,2,10,4,2,1,1,3,7,17,9,9,9
Tea_ttt351_Control,2,17,2,2,3,1,1,1,1,6,0,18,12,10,5
Tra_ttt339_DN,2,16,2,2,3,5,3,2,1,6,10,12,4,13,3
Tea_ttt352_Control,1,14,1,1,3,2,1,1,1,7,3,10,4,5,3
Tea_ttt353_Control,1,15,2,2,5,2,2,2,2,5,9,14,10,9,6
Tea_ttt354_Control,1,13,1,1,1,2,1,1,2,5,2,16,11,14,4
Tea_ttt355_Control,2,15,2,2,6,4,2,4,2,6,6,17,12,11,5
Tea_ttt356_Control,1,14,1,2,1,1,1,1,2,5,4,8,5,6,5
Tra_ttt340_DN,2,16,2,2,6,3,2,2,2,6,16,20,5,12,9
Tea_ttt357_Control,2,16,2,2,10,2,1,1,1,6,11,12,7,5,6
Tea_ttt358_Control,2,15,2,2,2,1,1,1,1,5,2,9,6,6,3
Tea_ttt359_Control,1,15,2,2,4,5,5,5,1,4,13,18,16,15,7
Tea_ttt360_Control,1,15,2,2,2,1,1,1,1,6,7,21,5,8,7
Tea_ttt361_Control,1,16,2,2,2,1,1,1,1,5,3,11,4,3,4
Tra_ttt341_DN,1,14,1,1,3,3,1,1,2,2,12,14,6,12,7
Tea_ttt362_Control,1,14,2,2,3,1,1,1,1,4,8,10,4,5,5
Tea_ttt363_Control,1,13,2,2,4,1,1,1,1,6,5,7,6,4,4
Tea_ttt364_Control,2,16,2,2,6,2,1,1,1,4,3,22,9,12,6
Tea_ttt365_Control,2,14,1,1,2,2,2,1,1,7,3,14,5,3,6
Tra_ttt342_DN,1,14,2,1,2,1,1,1,1,6,3,12,4,4,6
Tea_ttt366_Control,1,13,1,1,1,1,1,1,1,6,8,7,4,3,3
Tea_ttt367_Control,2,17,2,2,3,1,1,1,1,5,3,7,4,3,3
Tra_ttt343_DN,1,15,1,1,8,1,1,1,1,7,15,21,11,8,7
Tra_ttt344_DN,1,17,2,2,5,2,1,2,1,4,11,13,4,6,5
Tea_ttt368_Control,2,13,1,1,1,1,1,1,1,5,7,7,5,4,4
Tea_ttt369_Control,1,15,2,2,3,1,1,1,1,5,4,9,7,6,3
Tra_ttt345_DN,2,16,2,2,5,1,1,1,1,4,3,15,4,8,12
Tra_ttt346_DN,1,14,1,1,2,5,1,1,3,1,5,16,11,12,5
Tea_ttt370_Control,2,14,2,2,5,2,1,1,1,6,4,7,5,3,3
Tea_ttt371_Control,2,13,1,1,2,2,1,1,3,6,6,10,11,12,4
Tra_ttt347_DN,2,15,2,2,3,5,3,1,4,6,9,9,10,15,5
Tra_ttt348_DN,2,13,1,1,2,1,1,1,2,4,7,20,9,12,4
Tea_ttt372_Control,2,13,1,1,0,1,1,1,1,6,2,7,4,3,3
Tea_ttt373_Control,2,12,1,1,3,1,1,1,1,6,4,11,4,6,5
Tra_ttt349_DN,2,16,2,2,10,2,1,2,1,4,12,16,5,11,7
Tra_ttt350_DN,1,17,2,2,10,5,5,5,3,4,9,19,17,9,9
Tea_ttt374_Control,1,13,1,1,2,1,1,1,1,5,8,15,6,10,5
Tea_ttt375_Control,2,15,2,2,5,2,2,1,1,5,4,10,9,11,5
Tea_ttt376_Control,1,14,1,1,2,2,1,1,1,5,8,14,5,9,6
Tea_ttt377_Control,2,15,2,2,5,1,1,1,1,4,5,10,5,6,4
Tea_ttt378_Control,1,16,2,2,3,2,1,1,1,6,7,13,8,8,6
Tea_ttt379_Control,2,16,2,2,8,2,1,1,1,6,3,11,4,10,3
Tra_ttt351_DN,2,16,2,2,3,5,5,2,1,4,5,16,6,5,5
Tea_ttt380_Control,1,12,1,1,4,1,1,1,1,5,4,16,4,11,11
Tea_ttt381_Control,1,16,2,2,6,4,1,1,1,5,4,9,4,8,4
Tra_ttt352_DN,2,15,2,2,10,5,5,5,5,6,12,20,12,15,7
Tea_ttt382_Control,2,14,1,1,3,1,1,1,1,7,3,12,10,4,5
Tea_ttt383_Control,2,16,2,2,2,1,2,1,1,5,8,7,4,8,4
Tra_ttt353_DN,1,14,1,1,4,1,1,1,1,4,8,10,5,6,3
Tea_ttt384_Control,2,16,2,2,4,1,1,1,1,6,1,11,4,4,6
Tea_ttt385_Control,2,12,1,1,6,1,1,1,1,6,7,16,4,11,13
Tea_ttt386_Control,1,15,2,2,1,1,1,1,1,7,0,7,4,3,3
Tra_ttt354_DN,1,15,2,2,7,5,1,1,1,3,5,15,4,15,7
Tea_ttt387_Control,1,13,1,2,4,1,1,1,1,4,2,11,5,4,4
Tea_ttt388_Control,2,15,2,2,1,3,2,1,1,4,5,7,8,7,3
Tea_ttt389_Control,1,13,1,1,10,2,2,1,1,7,6,16,8,13,6
Tea_ttt390_Control,1,16,2,2,7,1,1,1,2,6,15,13,5,3,8
Tra_ttt355_DN,1,15,2,2,3,5,4,2,1,4,17,9,14,15,3
Tra_ttt356_DN,2,14,2,2,3,5,2,1,1,4,9,13,4,4,6
Tra_ttt357_DN,2,13,2,2,5,2,1,1,2,6,5,21,19,11,10
Tra_ttt358_DN,2,17,2,1,6,3,1,4,1,4,4,14,4,7,3
Tea_ttt391_Control,2,13,1,1,1,1,1,1,2,5,5,18,10,5,4
Tea_ttt392_Control,1,16,2,2,2,2,1,1,1,5,1,10,4,5,3
Tea_ttt393_Control,1,16,2,2,2,2,1,1,1,4,7,10,4,7,5
Tea_ttt394_Control,1,13,1,1,3,1,1,1,1,6,10,14,5,7,5
Tra_ttt359_DN,2,16,2,2,6,2,2,1,1,5,10,22,7,9,6
Tea_ttt395_Control,2,15,2,2,5,5,3,1,1,4,9,27,4,11,3
Tra_ttt360_DN,1,15,2,2,7,2,1,1,1,6,9,16,6,10,8
Tea_ttt396_Control,2,14,2,2,5,3,2,2,1,7,5,14,8,11,9
Tea_ttt397_Control,2,14,1,1,1,1,1,1,1,6,7,12,6,5,6
Tra_ttt361_DN,1,16,2,2,1,5,5,5,1,7,3,7,4,3,3
Tra_ttt362_DN,2,14,2,2,3,2,1,2,5,4,13,20,4,8,3
Tea_ttt398_Control,2,12,1,1,1,2,2,2,1,6,5,16,11,9,8
Tea_ttt399_Control,2,15,2,2,3,4,1,1,1,4,13,11,5,7,4
Tea_ttt400_Control,2,13,1,1,1,2,1,1,1,6,11,15,5,10,3
Tra_ttt363_DN,2,15,2,2,6,2,1,1,2,4,24,14,6,8,4
Tra_ttt364_DN,1,16,2,2,3,5,3,2,2,4,8,23,11,9,5
Tea_ttt401_Control,1,14,1,1,1,1,1,1,1,7,3,8,4,5,5
Tea_ttt402_Control,2,15,2,2,7,1,2,1,2,3,8,10,6,9,9
Tea_ttt403_Control,2,13,1,1,1,2,1,1,1,6,5,9,4,6,4
Tea_ttt404_Control,1,15,2,2,2,1,1,1,1,6,10,12,4,5,4
Tra_ttt365_DN,2,14,2,2,6,1,1,1,1,3,12,16,7,15,3
Tra_ttt366_DN,2,14,1,1,1,2,1,1,3,5,3,18,14,6,6
Tea_ttt405_Control,1,15,2,2,2,1,1,1,1,7,0,7,4,3,3
Tra_ttt367_DN,2,16,2,2,10,5,1,2,2,3,23,32,20,15,15
Tea_ttt406_Control,1,15,2,2,3,5,1,1,3,2,2,20,4,7,6
Tra_ttt368_DN,1,16,2,2,4,3,3,2,4,5,7,25,9,15,9
Tra_ttt369_DN,2,16,2,2,7,5,5,2,1,4,13,23,11,11,6
Tra_ttt370_DN,1,13,2,2,2,1,1,1,1,7,8,7,4,3,3
Tea_ttt407_Control,2,14,1,1,0,1,1,1,1,4,12,9,4,3,3
Tea_ttt408_Control,1,14,1,1,1,1,1,1,1,7,2,7,4,3,3
Tra_ttt371_DN,2,16,2,2,5,2,1,1,1,4,10,14,4,9,8
Tea_ttt409_Control,2,13,1,1,1,1,1,1,2,4,1,7,4,4,5
Tea_ttt410_Control,1,16,2,2,5,1,1,1,1,6,4,20,9,9,11
Tea_ttt411_Control,1,16,2,2,8,2,2,2,1,5,9,11,5,9,5
Tea_ttt412_Control,1,13,2,2,2,2,1,1,1,7,3,8,4,3,3
Tra_ttt372_DN,1,14,1,1,2,2,2,1,1,4,1,8,4,3,3
Tra_ttt373_DN,2,15,2,2,6,3,1,2,1,4,10,20,12,12,8
Tra_ttt374_DN,1,14,2,2,5,2,1,1,2,3,16,14,5,7,7
Tea_ttt413_Control,1,16,2,2,3,1,1,1,1,5,13,18,5,6,7
Tea_ttt414_Control,1,14,1,1,1,1,1,1,1,7,4,7,4,5,3
Tra_ttt375_DN,1,13,1,1,10,2,2,2,5,1,27,35,20,15,15
Tra_ttt376_DN,2,15,2,2,5,3,2,2,1,4,7,10,9,14,6
Tra_ttt377_DN,1,13,1,1,1,2,2,1,1,5,8,13,4,8,7
Tra_ttt378_DN,2,16,2,2,3,5,2,5,1,5,11,9,6,5,3
Tra_ttt379_DN,2,15,2,2,8,2,1,2,1,5,4,18,6,7,6
Tra_ttt380_DN,2,14,2,2,6,5,4,1,1,4,0,11,4,3,4
Tea_ttt415_Control,2,13,1,1,1,2,1,1,1,6,6,11,5,6,5
Tra_ttt381_DN,1,15,2,2,10,2,1,2,2,4,13,14,8,6,6
Tra_ttt382_DN,1,13,1,1,1,2,2,5,2,4,4,20,14,9,8
Tea_ttt416_Control,2,16,2,2,4,3,2,2,1,4,8,11,6,6,4
Tra_ttt383_DN,1,15,1,1,10,4,4,4,1,5,9,26,11,12,9
Tea_ttt417_Control,1,14,1,1,1,2,1,1,1,7,2,13,5,8,5
Tea_ttt418_Control,2,16,2,2,5,1,1,1,1,5,4,12,8,5,5
Tea_ttt419_Control,1,15,2,2,1,1,2,3,1,7,7,16,6,4,4
Tra_ttt384_DN,1,16,2,1,8,5,5,3,3,4,22,18,12,14,6
Tra_ttt385_DN,1,16,2,2,3,2,2,2,1,5,15,13,8,6,5
Tea_ttt420_Control,1,15,2,2,2,2,2,2,1,4,2,9,6,7,3
Tea_ttt421_Control,1,16,2,2,2,1,1,1,1,4,4,8,4,6,4
Tea_ttt422_Control,1,13,1,1,1,2,1,1,1,6,10,12,8,8,10
Tra_ttt386_DN,2,16,2,2,6,5,1,1,1,4,13,16,6,7,7
Tra_ttt387_DN,1,16,2,2,5,3,2,2,1,6,9,18,8,6,9
Tea_ttt423_Control,1,13,1,1,2,1,1,1,1,5,6,11,6,5,6
Tra_ttt388_DN,2,16,2,2,9,5,2,5,1,4,10,23,20,15,15
Tra_ttt389_DN,2,16,2,2,9,4,1,1,1,6,10,28,7,6,9
Tea_ttt424_Control,1,16,2,1,2,1,1,1,1,5,6,14,4,12,3
Tra_ttt390_DN,1,15,2,1,4,5,3,2,1,4,7,14,5,12,6
Tea_ttt425_Control,2,16,2,2,2,2,1,1,1,7,5,11,7,13,5
Tra_ttt391_DN,2,17,2,2,6,2,1,1,1,4,11,15,7,4,7
Tea_ttt426_Control,2,13,1,1,2,1,1,1,1,5,9,22,11,12,11
Tea_ttt427_Control,1,13,1,1,2,1,2,1,1,6,4,10,5,6,4
Tea_ttt428_Control,2,12,1,1,2,1,1,1,1,6,0,7,5,5,3
Tra_ttt392_DN,1,16,2,2,4,3,1,1,2,4,13,18,9,5,6
Tea_ttt429_Control,2,15,2,2,5,2,1,1,1,5,6,14,4,7,7
Tra_ttt393_DN,1,16,2,2,10,2,1,2,1,6,8,23,11,11,7
Tra_ttt394_DN,2,16,2,2,6,5,2,3,4,4,7,24,12,13,7
Tra_ttt395_DN,1,15,2,2,2,5,2,2,1,4,16,9,4,3,6
Tra_ttt396_DN,1,15,2,2,6,2,1,1,1,5,8,19,10,12,3
Tra_ttt397_DN,2,16,2,2,4,3,1,1,3,5,7,12,9,7,3
Tra_ttt398_DN,2,14,2,2,8,4,2,1,1,5,5,18,7,8,8
Tra_ttt399_DN,1,16,2,2,5,1,1,1,1,4,8,16,5,5,7
Tea_ttt430_Control,1,14,1,1,1,1,1,1,1,7,4,11,4,4,4
Tea_ttt431_Control,2,15,2,2,6,2,1,1,1,5,6,12,6,4,6
Tra_ttt400_DN,1,15,2,2,10,5,5,5,1,1,19,22,16,11,6
Tea_ttt432_Control,1,15,2,1,8,2,1,1,1,5,8,16,7,9,9
Tea_ttt433_Control,1,15,2,2,2,1,1,1,1,6,1,8,4,3,5
Tea_ttt434_Control,2,15,2,2,1,2,2,1,1,5,10,11,6,10,4
Tea_ttt435_Control,2,12,1,1,1,1,1,1,1,6,2,8,4,3,3
Tea_ttt436_Control,1,12,1,1,1,1,1,1,2,7,2,9,4,3,3
Tra_ttt401_DN,2,15,2,2,10,3,1,1,3,5,12,24,14,6,8
Tra_ttt402_DN,1,16,2,2,1,4,4,2,1,4,3,7,4,12,3
Tea_ttt437_Control,1,13,1,1,1,1,1,1,1,1,2,17,5,5,6
Tra_ttt403_DN,2,14,2,2,3,5,1,3,1,4,9,15,7,12,4
Tra_ttt404_DN,2,15,2,2,10,5,5,5,5,1,23,27,15,15,15
Tea_ttt438_Control,1,16,2,2,3,1,1,1,1,5,2,9,5,6,3
Tea_ttt439_Control,2,14,2,2,3,2,1,1,1,6,9,12,8,4,6
Tea_ttt440_Control,1,14,1,1,2,2,2,1,2,4,8,9,5,4,3
Tea_ttt441_Control,1,13,1,1,1,2,1,1,1,5,3,8,7,3,3
Tra_ttt405_DN,2,15,2,2,6,2,1,1,1,4,11,18,4,4,5
Tra_ttt406_DN,1,16,2,2,4,2,2,1,1,6,3,11,5,8,6
Tea_ttt442_Control,1,13,2,2,10,1,1,1,1,4,9,14,5,7,3
Tra_ttt407_DN,2,14,2,1,4,1,1,1,1,6,10,12,4,4,4
Tea_ttt443_Control,2,13,1,1,1,2,1,1,1,5,8,8,4,3,3
Tra_ttt408_DN,2,15,2,2,10,5,5,5,3,1,13,20,8,15,5
Tea_ttt444_Control,2,16,2,2,1,2,1,1,1,6,1,9,6,6,3
Tea_ttt445_Control,2,15,2,2,3,2,1,2,1,7,4,11,5,4,4
Tra_ttt409_DN,2,14,2,2,1,5,3,1,1,4,16,12,8,8,3
Tra_ttt410_DN,2,14,1,1,6,5,5,5,1,7,7,21,6,5,3
Tea_ttt446_Control,2,15,2,1,3,2,1,1,1,4,5,15,4,4,5
Tea_ttt447_Control,1,15,2,2,5,1,2,1,3,6,6,13,5,10,5
Tea_ttt448_Control,1,16,2,1,3,1,1,1,1,7,4,8,7,8,6
Tra_ttt411_DN,1,15,2,2,4,3,1,3,1,4,13,13,4,6,4
Tea_ttt449_Control,2,13,1,1,1,2,4,2,3,7,7,15,6,10,5
Tea_ttt450_Control,2,13,1,1,3,1,1,1,1,4,5,9,4,4,4
Tra_ttt412_DN,2,15,2,2,5,4,3,1,1,7,4,18,14,15,10
Tra_ttt413_DN,1,16,2,2,6,2,2,2,1,5,15,7,4,3,3
Tea_ttt451_Control,1,14,1,1,2,2,1,1,1,6,7,9,4,7,4
Tra_ttt414_DN,2,16,2,2,10,5,4,4,5,1,15,27,16,12,12
Tea_ttt452_Control,1,16,2,2,2,2,1,1,1,4,6,12,5,3,3
Tra_ttt415_DN,1,14,1,1,10,5,5,5,5,4,0,35,20,15,15
Tra_ttt416_DN,1,16,2,2,1,1,1,1,1,7,18,15,4,3,10
Tea_ttt453_Control,1,13,1,1,2,1,1,1,1,7,4,8,4,5,3
Tra_ttt417_DN,2,15,2,2,3,3,1,1,1,4,5,16,4,5,7
Tea_ttt454_Control,1,13,1,1,1,1,1,1,1,6,9,17,6,5,7
Tea_ttt455_Control,1,14,1,1,1,1,1,1,1,7,4,12,4,3,5
Tea_ttt456_Control,2,14,2,2,2,2,2,2,3,6,9,17,7,8,6
Tea_ttt457_Control,1,12,1,1,1,2,1,1,1,5,4,11,4,5,3
Tra_ttt418_DN,2,15,2,2,10,5,5,5,1,5,18,17,6,9,5
Tea_ttt458_Control,2,16,2,2,4,1,1,1,1,4,6,9,4,3,5
Tra_ttt419_DN,1,13,1,1,4,3,1,1,2,4,9,25,12,15,12
Tea_ttt459_Control,1,16,2,2,10,2,1,1,2,4,11,11,7,7,7
Tra_ttt420_DN,2,14,2,2,4,2,1,1,1,5,12,18,20,13,7
Tra_ttt421_DN,1,14,1,1,5,1,1,1,1,5,9,14,4,3,4
Tra_ttt422_DN,2,15,2,2,10,2,2,2,1,4,11,29,14,7,9
Tra_ttt423_DN,1,14,2,1,5,2,1,1,1,4,4,16,5,10,6
Tra_ttt424_DN,1,16,2,2,8,5,1,1,1,4,5,7,13,3,3
Tra_ttt425_DN,1,13,2,2,10,1,1,1,5,6,0,35,20,15,15
Tra_ttt426_DN,2,14,2,2,4,3,2,2,2,4,13,19,10,9,9
Tea_ttt460_Control,1,15,2,2,5,2,1,1,1,4,8,12,4,3,5
Tra_ttt427_DN,1,13,2,2,10,5,2,5,1,4,11,10,4,7,4
Tra_ttt428_DN,1,14,2,2,10,5,3,5,2,1,6,15,20,15,3
Tea_ttt461_Control,1,15,2,2,5,1,1,1,2,4,3,10,4,13,5
Tra_ttt429_DN,2,17,2,2,10,1,2,1,1,4,17,16,6,11,8
Tra_ttt430_DN,2,16,2,2,8,5,5,5,1,4,19,28,16,14,11
Tea_ttt462_Control,2,16,2,2,5,2,3,1,1,5,7,17,6,6,7
Tea_ttt463_Control,2,16,2,2,10,1,1,1,1,6,5,12,4,8,3
Tea_ttt464_Control,1,12,1,1,4,1,1,1,1,5,8,11,6,13,7
Tra_ttt431_DN,2,14,1,2,2,3,3,2,2,5,9,16,9,7,7
Tra_ttt432_DN,2,16,2,2,5,2,1,2,1,5,12,19,5,4,3
Tea_ttt465_Control,1,15,2,2,2,1,1,1,1,5,4,9,6,6,3
Tea_ttt466_Control,2,13,2,2,4,1,1,1,1,4,8,9,4,14,3
Tea_ttt467_Control,1,14,1,2,1,2,1,1,1,4,5,8,4,6,3
Tra_ttt433_DN,1,13,1,1,10,2,2,2,5,3,27,35,20,15,15
Tra_ttt434_DN,2,16,2,2,2,5,1,2,1,5,4,20,11,5,14
Tea_ttt468_Control,2,13,1,1,4,1,1,1,1,6,3,11,4,4,5
Tra_ttt435_DN,2,16,2,2,5,4,5,3,1,4,23,27,16,15,11
Tea_ttt469_Control,2,16,2,2,2,2,1,1,1,6,5,10,5,5,5
Tra_ttt436_DN,2,16,2,2,10,5,5,2,2,1,17,26,20,15,11
Tra_ttt437_DN,2,16,2,1,3,5,2,1,1,6,4,10,8,6,4
Tea_ttt470_Control,2,16,2,2,5,1,1,1,1,5,6,16,4,7,5
Tea_ttt471_Control,2,14,1,1,2,4,2,1,1,6,7,12,8,15,5
Tra_ttt438_DN,2,16,2,2,10,2,1,1,2,5,9,18,9,10,7
Tea_ttt472_Control,2,13,2,2,1,1,1,1,1,7,5,10,4,4,5
Tra_ttt439_DN,2,16,2,2,4,4,1,4,1,5,9,26,10,9,11
Tra_ttt440_DN,2,14,2,2,8,5,2,2,2,4,9,17,15,14,9
Tea_ttt473_Control,1,13,2,2,5,1,1,1,1,7,8,22,6,3,3
Tea_ttt474_Control,1,15,1,2,2,1,1,1,1,7,5,10,4,7,4
Tea_ttt475_Control,2,14,1,1,1,2,1,1,1,7,4,8,8,3,4
Tea_ttt476_Control,1,16,2,2,1,2,2,1,1,6,8,7,7,4,3
Tra_ttt441_DN,2,14,1,1,3,3,4,2,4,6,13,14,6,12,4
Tea_ttt477_Control,2,14,2,1,3,1,1,1,1,6,2,7,5,4,3
Tea_ttt478_Control,2,15,2,2,5,1,1,1,1,6,5,12,4,6,6
Tra_ttt442_DN,2,16,2,2,5,3,1,2,1,4,19,17,7,5,6
Tra_ttt443_DN,2,15,2,2,10,5,2,5,1,4,18,11,20,7,3
Tra_ttt444_DN,1,16,2,2,10,5,5,5,2,4,17,24,20,15,6
Tea_ttt479_Control,2,12,1,1,1,1,1,1,1,6,3,15,4,3,6
Tra_ttt445_DN,1,16,2,2,6,1,1,1,3,4,0,10,4,6,4
Tea_ttt480_Control,1,15,2,2,2,1,1,1,1,7,7,7,4,3,3
Tea_ttt481_Control,1,15,2,2,2,2,1,1,1,4,7,7,4,3,3
Tea_ttt482_Control,2,13,1,1,1,2,2,1,1,5,7,11,4,3,6
Tea_ttt483_Control,1,16,2,1,3,1,1,1,1,4,3,7,5,6,6
Tra_ttt446_DN,2,15,2,1,5,5,2,1,1,4,8,13,4,15,5
Tra_ttt447_DN,1,14,1,1,1,2,2,2,1,6,9,15,6,10,5
Tra_ttt448_DN,1,16,2,1,1,2,2,2,1,4,9,16,7,6,6
Tra_ttt449_DN,1,16,2,1,3,2,1,1,1,4,7,17,6,5,6
Tra_ttt450_DN,1,15,2,2,4,5,2,2,3,4,5,21,7,8,6
Tea_ttt484_Control,2,16,2,2,3,3,1,2,1,4,5,13,10,11,8
Tea_ttt485_Control,1,13,1,1,1,1,1,1,1,6,2,8,4,6,4
Tra_ttt451_DN,1,14,1,1,10,3,2,1,1,4,6,16,9,14,15
Tea_ttt486_Control,1,13,1,2,2,1,1,1,1,5,10,10,4,5,5
Tra_ttt452_DN,1,14,1,1,9,3,2,2,3,6,10,15,8,12,10
Tra_ttt453_DN,1,16,2,2,4,2,3,1,1,4,16,24,9,6,8
Tea_ttt487_Control,2,13,1,1,1,1,1,1,1,5,2,10,5,3,5
Tea_ttt488_Control,1,13,1,1,2,2,1,1,1,6,3,11,7,6,3
Tra_ttt454_DN,1,14,1,1,2,2,1,1,3,5,23,18,13,10,10
Tra_ttt455_DN,1,15,2,2,5,3,2,1,1,5,8,21,6,15,11
Tea_ttt489_Control,2,13,2,2,2,1,1,1,1,6,4,7,4,3,4
Tea_ttt490_Control,1,13,1,1,1,1,2,1,1,7,10,11,4,3,3
Tea_ttt491_Control,2,15,2,2,4,1,1,1,1,6,1,11,8,9,3
Tra_ttt456_DN,1,15,2,1,6,1,1,1,1,5,9,12,4,3,5
Tra_ttt457_DN,1,14,2,2,5,2,1,1,3,5,2,20,15,15,9
Tra_ttt458_DN,1,16,2,2,4,5,1,1,1,5,25,24,20,11,13
Tra_ttt459_DN,2,16,2,2,8,3,2,1,1,4,12,15,6,9,6
Tra_ttt460_DN,1,16,2,2,4,2,2,2,3,4,13,16,5,4,4
Tea_ttt492_Control,2,15,2,2,5,2,1,2,1,4,9,12,4,6,3
Tra_ttt461_DN,2,14,2,2,10,4,2,4,1,4,12,16,13,14,6
Tra_ttt462_DN,2,13,1,1,0,2,2,1,1,5,10,18,8,10,10
Tra_ttt463_DN,2,15,2,2,6,5,2,2,1,4,16,15,10,12,9
Tea_ttt493_Control,2,15,2,2,2,1,1,1,1,6,1,7,4,3,3
Tea_ttt494_Control,1,13,2,2,1,2,1,1,1,5,4,13,4,5,6
Tea_ttt495_Control,2,16,2,2,4,2,1,1,1,5,9,15,4,5,8
Tra_ttt464_DN,2,16,2,2,10,5,1,1,1,4,6,24,20,15,11
Tra_ttt465_DN,2,13,1,1,6,1,1,1,1,4,10,17,20,7,8
Tra_ttt466_DN,2,16,2,2,3,2,1,2,1,4,4,11,9,9,3
Tea_ttt496_Control,2,16,2,2,2,2,2,1,1,4,4,7,4,3,3
Tea_ttt497_Control,1,14,1,1,1,1,1,1,1,5,4,8,4,5,3
Tea_ttt498_Control,2,15,2,2,4,1,2,2,1,5,4,15,7,6,3
Tra_ttt467_DN,1,16,2,2,10,1,1,1,1,4,15,21,7,11,7
Tea_ttt499_Control,2,14,1,2,1,1,1,1,1,4,3,9,4,4,3
Tea_ttt500_Control,1,17,2,2,1,1,1,1,1,6,6,7,4,4,3
Tra_ttt468_DN,1,15,2,2,4,4,4,1,1,5,8,15,12,7,6
Tra_ttt469_DN,2,13,1,1,2,1,3,1,1,6,6,7,4,3,3
Tea_ttt501_Control,1,13,2,2,3,1,1,1,1,3,0,14,5,6,4
Tea_ttt502_Control,1,13,1,2,1,1,1,1,1,4,8,14,7,4,5
Tea_ttt503_Control,2,16,2,2,4,2,1,1,1,7,6,11,4,7,3
Tea_ttt504_Control,2,16,2,2,3,2,3,1,1,6,3,9,6,4,3
Tra_ttt470_DN,1,15,2,1,5,2,2,1,1,5,7,19,7,12,9
Tra_ttt471_DN,2,16,2,2,6,2,5,2,2,4,9,18,14,15,9
Tea_ttt505_Control,2,16,2,2,6,1,2,1,1,4,6,11,11,3,3
Tea_ttt506_Control,2,16,2,2,5,3,2,1,1,5,2,10,6,7,3
Tea_ttt507_Control,1,13,2,2,7,2,1,1,1,7,2,14,12,8,7
Tra_ttt472_DN,2,16,2,2,7,2,2,1,1,4,13,20,4,5,11
Tra_ttt473_DN,2,16,2,2,2,2,2,1,1,4,12,14,12,7,5
Tra_ttt474_DN,2,16,2,2,10,5,5,5,1,4,11,13,4,5,5
Tra_ttt475_DN,2,15,2,2,5,3,2,2,2,5,17,23,9,6,10
Tea_ttt508_Control,1,15,2,2,3,2,1,1,4,7,2,13,4,4,3
Tra_ttt476_DN,1,16,2,2,4,5,4,5,1,3,12,19,6,10,12
Tea_ttt509_Control,1,15,1,2,1,3,1,1,1,7,4,7,4,3,3
